date,high,low,open,close,volume,quoteVolume,weightedAverage
1641027600,3724.34783087,3717.24594878,3723.36903451,3718.54778303,13963.31315247,3.75565515,3717.94336667
1641027900,3729.63740016,3718.54778303,3718.54778303,3729.0358469,572.71901658,0.15364979,3727.43117049
1641028200,3730.06825403,3726.7079899,3727.79610745,3730.06825403,68.93670642,0.0184892,3728.48508464
1641028500,3730.06825403,3723.43370865,3730.06825403,3723.43370865,3962.86855204,1.06293969,3728.21580502
1641028800,3725.48309256,3723.66117766,3724.95793353,3724.41060315,251.75668474,0.06759318,3724.58707732
1641029100,3727.99171966,3721.14705834,3723.82004659,3723.42885893,220.30401814,0.05914304,3724.93564999
1641029400,3726.4159811,3722.59778881,3723.42885893,3723.80353887,1439.19403725,0.38654531,3723.22209071
1641029700,3723.42885893,3713,3723.42885893,3715.70391801,18937.12995079,5.10005051,3713.12596094
1641030000,3715,3709.95772145,3714.62161332,3714.58696758,1804.86543815,0.48635394,3711.01226845
1641030300,3720.4602226,3712.06793883,3714.58696758,3719.4276455,1086.409444,0.29203403,3720.14673772
1641030600,3718.71515536,3712.38303678,3718.20304002,3712.38303678,120.53125743,0.03244282,3715.19052404
1641030900,3718.02476041,3711.92982462,3711.92982462,3718.02476041,282.09463875,0.07594855,3714.2860364
1641031200,3732.16015548,3718.63241051,3718.63241051,3730.0294212,74.5164985,0.0199891,3727.85660686
1641031500,3727.49661969,3720.39905917,3727.40915125,3723.65624882,148.65139688,0.03991136,3724.53849933
1641031800,3727.6667115,3720.11263897,3722.07201665,3720.11263897,64.9492196,0.01744145,3723.84289196
1641032100,3719.64764813,3713.37554873,3719.64764813,3714.60512152,3854.59927213,1.03742099,3715.55936238
1641032400,3715.44876208,3709.84297895,3715.16232512,3715.11769712,680.39631446,0.18316016,3714.76152052
1641032700,3714.47701973,3691.0676019,3714.47701973,3691.95130865,73681.34523127,19.93509906,3696.06115372
1641033000,3691.413131,3673.79332455,3690.57101419,3680.75940132,27569.93222832,7.48291881,3684.38211456
1641033300,3688.02108751,3676.41039661,3677.52583179,3683.55297009,482.40316012,0.13088634,3685.66467765
1641033600,3700.88739285,3683.68038088,3685.06035359,3698.44509615,22901.64987747,6.2021933,3692.50824179
1641033900,3707.3601502,3692.26434606,3698.82173977,3694.01819301,4582.74140492,1.23711424,3704.38012654
1641034200,3706.19794438,3694.01819302,3694.01819302,3698.62539835,8505.17263715,2.29783462,3701.38588875
1641034500,3698.09720218,3691.46300355,3697.19760742,3693.3169485,279.8926141,0.0757576,3694.58132391
1641034800,3698.81866818,3692.3517094,3692.3517094,3698.71723796,288.46817397,0.07805228,3695.83276716
